study_id,study_slug,included_status,title,pmid,year_published,journal_published,article_type_general,article_type_specific,open_access,data_available,data_availability_notes,imaging_modality,resolution,sample_size_number,sample_size_notes,model_system,model_system_specific,organelles,quantifications,comparators_conditions,comments,source_file,source_sheet,source_repo_url,source_commit
Lee 2023,lee-2023,borderline,Single-shot refractive index slice imaging using spectrally multiplexed optical transfer function reshaping.,37157259,2023,Optics Express,,,,,,,,,,,,,,,,Additional file 2_includes_borderlines.xlsx,Data Extraction_Borderlines,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
Liang 2023,liang-2023,borderline,Non-Invasive and Minute-Frequency 3D Tomographic Imaging Enabling Long-Term Spatiotemporal Observation of Single Cell Fate.,36950762,2023,Small Methods,,,,,,,,,,,,,,,,Additional file 2_includes_borderlines.xlsx,Data Extraction_Borderlines,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
Lipke 2014,lipke-2014,borderline,"Ultrastructure of spermatozoa of Orsolobidae (Haplogynae, Araneae) with implications on the evolution of sperm transfer forms in Dysderoidea.",24895185,2014,Journal of Morphology,,,,,,,,,,,,,,,,Additional file 2_includes_borderlines.xlsx,Data Extraction_Borderlines,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
NeÅ¡iÄ‡ 2024,ne-i-2024,borderline,Automated segmentation of cell organelles in volume electron microscopy using deep learning.,38501891,2024,Microscopy research and Technique,,,,,,,,,,,,,,,,Additional file 2_includes_borderlines.xlsx,Data Extraction_Borderlines,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
Osumi 2012,osumi-2012,borderline,Visualization of yeast cells by electron microscopy.,23231852,2012,Journal of Electron Microscopy,,,,,,,,,,,,,,,,Additional file 2_includes_borderlines.xlsx,Data Extraction_Borderlines,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
Perez-Berna 2021,perez-berna-2021,borderline,Monitoring reversion of hepatitis C virus-induced cellular alterations by direct-acting antivirals using cryo soft X-ray tomography and infrared microscopy,34726165,2021,Acta Crystallogr D Struct Biol,,,,,,,,,,,,,,,,Additional file 2_includes_borderlines.xlsx,Data Extraction_Borderlines,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
Pokrovskaya 2021,pokrovskaya-2021,borderline,Canalicular system reorganization during mouse platelet activation as revealed by 3D ultrastructural analysis.,32000578,2021,Platelets,,,,,,,,,,,,,,,,Additional file 2_includes_borderlines.xlsx,Data Extraction_Borderlines,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
Pumplin 2009,pumplin-2009,borderline,Live-cell imaging reveals periarbuscular membrane domains and organelle location in Medicago truncatula roots during arbuscular mycorrhizal symbiosis.,19692536,2009,Plant Physiology,,,,,,,,,,,,,,,,Additional file 2_includes_borderlines.xlsx,Data Extraction_Borderlines,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
RileyKCJr 2023,rileykcjr-2023,borderline,Three-Dimensional Structure of Inner Ear Hair Cell Ribbon Synapses in a Zebrafish Model of Usher Syndrome Type 1B.,37071854,2023,Zebrafish,,,,,,,,,,,,,,,,Additional file 2_includes_borderlines.xlsx,Data Extraction_Borderlines,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
Rusak 2023,rusak-2023,borderline,"Multimodal study of CHI3L1 inhibition and its effect on angiogenesis, migration, immune response and refractive index of cellular structures in glioblastoma.",36921538,2023,Biomedicine & Pharmacotherapy,,,,,,,,,,,,,,,,Additional file 2_includes_borderlines.xlsx,Data Extraction_Borderlines,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
Saliba 2023,saliba-2023,borderline,Whole-cell multi-target single-molecule super-resolution imaging in 3D with microfluidics and a single-objective tilted light sheet.,37808751,2023,BioRxiv,,,,,,,,,,,,,,,,Additional file 2_includes_borderlines.xlsx,Data Extraction_Borderlines,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
Seemann 2012,seemann-2012,borderline,"Insight into the ultrastructural organisation of sporulated oocysts of Eimeria nieschulzi (Coccidia, Apicomplexa).",22955498,2012,Parasitology Research,,,,,,,,,,,,,,,,Additional file 2_includes_borderlines.xlsx,Data Extraction_Borderlines,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
Shu 2023,shu-2023,borderline,"Three-dimensional architecture of granulosa cell derived from oocyte cumulus complex, revealed by FIB-SEM.",37946316,2023,Journal of Ovarian Research,,,,,,,,,,,,,,,,Additional file 2_includes_borderlines.xlsx,Data Extraction_Borderlines,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
Singh 2024,singh-2024,borderline,Pleomorphism in Biological Units of Life: Morphological Heterogeneity in Cells Does Not Translate Uniformly to Subcellular Components.,38854505,2024,ACS Omega,,,,,,,,,,,,,,,,Additional file 2_includes_borderlines.xlsx,Data Extraction_Borderlines,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
Sun 2023,sun-2023,borderline,3DCNAS: A universal method for predicting the location of fluorescent organelles in living cells in three-dimensional space.,37852350,2023,Experimental Cell Reserach,,,,,,,,,,,,,,,,Additional file 2_includes_borderlines.xlsx,Data Extraction_Borderlines,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
Tutak 2017,tutak-2017,borderline,Nanofiber scaffolds influence organelle structure and function in bone marrow stromal cells.,26888543,2017,J Biomed Mater Res B Appl Biomater,,,,,,,,,,,,,,,,Additional file 2_includes_borderlines.xlsx,Data Extraction_Borderlines,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
