dataset_locator_id,study_id,study_slug,included_status,year,journal_published,open_access,study_data_available,public_locator_urls,public_repository_types,public_total_size_raw,public_total_size_bytes_min,public_total_size_bytes_max,public_size_parse_note,data_availability_notes,imaging_modality,modality_code,xy_nm,z_nm,organism_type,cell_type,cell_type_code,abbreviation,min_sample_size,sample_size_certain,sample_size_notes,organelles_common,organelles_specialized,source_file,source_sheet,source_repo_url,source_commit
uchida-2011-062,Uchida 2011,uchida-2011,included,2011,Yeast,Yes,No,,,,,,,,SXT,2,50,50,Yeast,Saccharomyces cerevisiae,38,Sc,200,Y,,Nucleus; Mitochondria; Vacuole/Lysosome; Lipid Droplets,,Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
umemura-2020-034,Umemura 2020,umemura-2020,included,2020,MethodsX,Yes,No,,,,,,,,Optical tomography (diffraction),7,100,360,"Protist (diatom, algae/plankton)",Cylindrotheca sp.,24,Cyl,1,Y,,Vacuole/Lysosome; Chloroplast/Plastid,,Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
uwizeye-2021a-027,Uwizeye 2021a,uwizeye-2021a,included,2021,Nature Communications,Yes,Yes,https://www.ebi.ac.uk/biostudies/bioimages/studies/S-BSST575; https://www.ebi.ac.uk/biostudies/studies/S-BSST575,BioStudies,958.3,958300000000,958300000000,numeric cell without units in workbook; interpreted as GB from context,"""The authors declare that all the data supporting the findings of this study are available within the paper and in its supplementary information files. Raw FIB-SEM stacks are available at https://www.ebi.ac.uk/biostudies/studies/S-BSST575. Source data are provided with this paper""",FIB-SEM,1,4-8,4-8,Protist (plankton),Emiliana,18,Emi,3,Y,,Nucleus; Mitochondria; Chloroplast/Plastid,,Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
uwizeye-2021a-031,Uwizeye 2021a,uwizeye-2021a,included,2021,Nature Communications,Yes,Yes,https://www.ebi.ac.uk/biostudies/bioimages/studies/S-BSST575; https://www.ebi.ac.uk/biostudies/studies/S-BSST575,BioStudies,958.3,958300000000,958300000000,numeric cell without units in workbook; interpreted as GB from context,"""The authors declare that all the data supporting the findings of this study are available within the paper and in its supplementary information files. Raw FIB-SEM stacks are available at https://www.ebi.ac.uk/biostudies/studies/S-BSST575. Source data are provided with this paper""",FIB-SEM,1,4-8,4-8,Protist (plankton),Galdieria,21,Gal,3,Y,,Nucleus; Mitochondria; Chloroplast/Plastid,,Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
uwizeye-2021a-026,Uwizeye 2021a,uwizeye-2021a,included,2021,Nature Communications,Yes,Yes,https://www.ebi.ac.uk/biostudies/bioimages/studies/S-BSST575; https://www.ebi.ac.uk/biostudies/studies/S-BSST575,BioStudies,958.3,958300000000,958300000000,numeric cell without units in workbook; interpreted as GB from context,"""The authors declare that all the data supporting the findings of this study are available within the paper and in its supplementary information files. Raw FIB-SEM stacks are available at https://www.ebi.ac.uk/biostudies/studies/S-BSST575. Source data are provided with this paper""",FIB-SEM,1,4-8,4-8,Protist (plankton),Micromonas,17,Mic,3,Y,3 cells per species,Nucleus; Mitochondria; Chloroplast/Plastid,,Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
uwizeye-2021a-033,Uwizeye 2021a,uwizeye-2021a,included,2021,Nature Communications,Yes,Yes,https://www.ebi.ac.uk/biostudies/bioimages/studies/S-BSST575; https://www.ebi.ac.uk/biostudies/studies/S-BSST575,BioStudies,958.3,958300000000,958300000000,numeric cell without units in workbook; interpreted as GB from context,"""The authors declare that all the data supporting the findings of this study are available within the paper and in its supplementary information files. Raw FIB-SEM stacks are available at https://www.ebi.ac.uk/biostudies/studies/S-BSST575. Source data are provided with this paper""",FIB-SEM,1,4-8,4-8,Protist (plankton),Nannochloropsis,23,Nan,3,Y,,Nucleus; Mitochondria; Chloroplast/Plastid,,Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
uwizeye-2021a-039,Uwizeye 2021a,uwizeye-2021a,included,2021,Nature Communications,Yes,Yes,https://www.ebi.ac.uk/biostudies/bioimages/studies/S-BSST575; https://www.ebi.ac.uk/biostudies/studies/S-BSST575,BioStudies,958.3,958300000000,958300000000,numeric cell without units in workbook; interpreted as GB from context,"""The authors declare that all the data supporting the findings of this study are available within the paper and in its supplementary information files. Raw FIB-SEM stacks are available at https://www.ebi.ac.uk/biostudies/studies/S-BSST575. Source data are provided with this paper""",FIB-SEM,1,4-8,4-8,Protist (plankton),Pelagomonas,29,Pel,3,Y,,Nucleus; Mitochondria; Chloroplast/Plastid; Vesicles;,,Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
uwizeye-2021a-032,Uwizeye 2021a,uwizeye-2021a,included,2021,Nature Communications,Yes,Yes,https://www.ebi.ac.uk/biostudies/bioimages/studies/S-BSST575; https://www.ebi.ac.uk/biostudies/studies/S-BSST575,BioStudies,958.3,958300000000,958300000000,numeric cell without units in workbook; interpreted as GB from context,"""The authors declare that all the data supporting the findings of this study are available within the paper and in its supplementary information files. Raw FIB-SEM stacks are available at https://www.ebi.ac.uk/biostudies/studies/S-BSST575. Source data are provided with this paper""",FIB-SEM,1,4-8,4-8,Protist (plankton),Phaeodactylum,22,Phae,3,Y,,Nucleus; Mitochondria; Chloroplast/Plastid,,Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
uwizeye-2021a-030,Uwizeye 2021a,uwizeye-2021a,included,2021,Nature Communications,Yes,Yes,https://www.ebi.ac.uk/biostudies/bioimages/studies/S-BSST575; https://www.ebi.ac.uk/biostudies/studies/S-BSST575,BioStudies,958.3,958300000000,958300000000,numeric cell without units in workbook; interpreted as GB from context,"""The authors declare that all the data supporting the findings of this study are available within the paper and in its supplementary information files. Raw FIB-SEM stacks are available at https://www.ebi.ac.uk/biostudies/studies/S-BSST575. Source data are provided with this paper""",FIB-SEM,1,4-8,4-8,Protist (plankton),Symbiodinium,20,Sym,3,Y,,Nucleus; Mitochondria; Chloroplast/Plastid,,Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
uwizeye-2021b-029,Uwizeye 2021b,uwizeye-2021b,included,2021,PNAS,Yes,Yes,https://www.ebi.ac.uk/empiar/EMPIAR-10672/,EMPIAR,2.9 GB,2900000000,2900000000,,"Raw electron microscopy data are deposited in the Electron Microscopy Public Image Archive (EMPIAR), accession code EMPIAR-10672.",FIB-SEM,1,5-10,5-10,Protist (phytoplankton),Phaeocystis cordata,19,Pcor,27,Y,"20 free-living + 7 symbiotic (w/ Â and w/o host Acantharia (radiolarian protozoa, marine microplankton))",Nucleus; Mitochondria; Vacuole/Lysosome; Chloroplast/Plastid,,Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
