dataset_locator_id,study_id,study_slug,included_status,year,journal_published,open_access,study_data_available,public_locator_urls,public_repository_types,public_total_size_raw,public_total_size_bytes_min,public_total_size_bytes_max,public_size_parse_note,data_availability_notes,imaging_modality,modality_code,xy_nm,z_nm,organism_type,cell_type,cell_type_code,abbreviation,min_sample_size,sample_size_certain,sample_size_notes,organelles_common,organelles_specialized,source_file,source_sheet,source_repo_url,source_commit
antao-2023-068,Antao 2023,antao-2023,included,2023,Nature Communications,Yes,Yes,https://doi.org/10.5281/zenodo.10009391; https://www.ebi.ac.uk/empiar/EMPIAR-11683/,Zenodo; EMPIAR,537.9 GB,537900000000,537900000000,,Our SBF-SEM datasets are publicly available in the EMPIAR database: EMPIAR-11683. Live-cell imaging and light microscopy data are available in Zenodo: https://doi.org/10.5281/zenodo.10009391.Source data are provided with this paper.,SBF-SEM,3,2,30-60,Yeast (pathogenic),Encephalitozoon intestinalis,39,Ei,21,N,"21+ E.i. (""A minimum of 7 parasites were segmented completely per condition"" [sporonts, sporoblasts, spores])",Nucleus; ER; Mitochondria; Vacuole/Lysosome,,Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
antao-2023-098,Antao 2023,antao-2023,included,2023,Nature Communications,Yes,Yes,https://doi.org/10.5281/zenodo.10009391; https://www.ebi.ac.uk/empiar/EMPIAR-11683/,Zenodo; EMPIAR,537.9 GB,537900000000,537900000000,,Our SBF-SEM datasets are publicly available in the EMPIAR database: EMPIAR-11683. Live-cell imaging and light microscopy data are available in Zenodo: https://doi.org/10.5281/zenodo.10009391.Source data are provided with this paper.,SBF-SEM,3,2,30-60,NHP,Vero (Cercopithecus aethiops),64,Vero,4,Y,"4 Vero (inc PV, Fig 5)","nucleus, mito, ER",,Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
attias-2022-004,Attias 2022,attias-2022,included,2022,Micron,No,No,,,,,,,"N (""no data was used for the research described in the article""?)",FIB-SEM,1,?,?,Protist (parasitic protozoan),Trypanosoma sp. 858,4,Tr858,1,N,Unclear,Nucleus; Lipid Droplets; Flagella/cilia,,Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
bianco-2023-055,Bianco 2023,bianco-2023,included,2023,Small Methods,Yes,No,,,,,,,Data Availability Statement The data that support the findings of this study are available from the corresponding author upon reasonable request.,Optical tomography (phase contrast),7,0.5 (?),?,Yeast,Saccharomyces cerevisiae,38,Sc,4,Y,,Nucleus; Vacuole/Lysosome,,Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
burrell-2022-014,Burrell 2022,burrell-2022,included,2022,PLoS Pathogens,Yes,No,,,,,,,,SBF-SEM,3,?,100-200,Protist (parasitic protozoan),Eimeria tenella,11,Et,25,Y,,Nucleus; Mitochondria,,Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
carlson-2013-056,Carlson 2013,carlson-2013,included,2013,Microscopy and Microanalysis,No,No,,,,,,,,SXT,2,50,50,Yeast,Saccharomyces cerevisiae,38,Sc,1,Y,A yeast cell,Nucleus; Mitochondria; Vacuole/Lysosome,,Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
chen-2022-107,Chen 2022,chen-2022,included,2022,Viruses,Yes,No,,,,,,,The data supporting this studyâ€™s findings are available from the corresponding author upon request.,SXT,2,60,60,Human (differentiated),B lymphocyte,71,humB,1,Y,true whole-cell reconstruction,Nucleus; Mitochondria; Lipid Droplets,,Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
cho-2023-118,Cho 2023,cho-2023,included,2023,Analytical Chemistry,No,No,,,,,,,,Optical tomography (diffraction),7,110,365,Human (cancer),HeLa,80,HeLa,2,Y,"(nucleus + autophagosome, Fig 5C, originally thought we'd include Fig 7 but cells appear to be cut off)",Nucleus; Autophagosome,,Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
conesa-2020-016,Conesa 2020,conesa-2020,included,2020,mSphere,Yes,No,,,,,,,,SXT,2,50,50,Protist (parasitic protozoan),Babesia divergens,13,Bd,40,N,"at least 40 parasites in 19 RBCs, counted from Fig 4, couldn’t find SS stated in text;",Mitochondria,,Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
cooper-2017-010,Cooper 2017,cooper-2017,included,2017,Parasites & Vectors,Yes,No,,,,,,,"Availability of data and material The datasets used and/or analysed during the current study are available from the corresponding author on reasonable request, where not included in the published article or additional files.",FIB-SEM,1,?,25,Protist (parasitic protozoan),Trypanosoma (currawong),7,TrCur,2,Y,"2 full reconstructions; quants from 25 cells, only kinetoplasts segmented",Mitochondria; endosome,reservosome (late endosome),Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
cui-2019-051,Cui 2019,cui-2019,included,2019,Nature Plants,No,No,,,,,,,Data availability The data that support the findings of this study are available from the corresponding authors upon request.,ET (cryo),5,4.3,300,Plant,"Arabidopsis thaliana, cortical root",36,At-cr,1,Y,1 whole cell w multiple organelles; 3 whole-cell vacuole only,Nucleus; ER; Mitochondria; Vacuole/Lysosome; Chloroplast/Plastid; Golgi; MVB,,Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
dang-2023-069,Dang 2023,dang-2023,included,2023,ACS Nano,No,No,,,,,,,,SXT,2,30,30,Yeast (pathogenic),Candida utilis,40,Cu,40,N,,Nucleus; Mitochondria; Vacuole/Lysosome; Lipid Droplets,,Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
decelle-2019-028,Decelle 2019,decelle-2019,included,2019,Current Biology,Yes,No,,,,,,,,FIB-SEM,1,8,8,Protist (phytoplankton/algae),Phaeocystis cordata,19,Pcor,18,Y,"8 symbiotic, 10 free-living; 2 representative cells shown",Nucleus; Chloroplast/Plastid,,Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
decelle-2021-003,Decelle 2021,decelle-2021,included,2021,Environmental Microbiology,Yes,No,,,,,,,,FIB-SEM,1,8,8,Protist (dinoflagellate),Brandtodinium nutricula,3,Bn,7,Y,"3 free-living, 4 symbiotic",Nucleus; Mitochondria; Vacuole/Lysosome; Chloroplast/Plastid,,Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
deng-2018-040,Deng 2018,deng-2018,included,2018,Science Advances,Yes,No,,,,,,,,HXT (ptychography w/ fluorescence),8,45-125,55-140,Protist (green algae),Chlamydomonas reinhartdii,30,Cr,1,Y,,chloroplast/plastid,,Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
deshmukh-2024-092,Deshmukh 2024,deshmukh-2024,included,2024,Cells,Yes,No,,,,,,,Reconstructed data are available from the corresponding contacts upon request. The original code is available at the GitHub repository: https://github.com/kvn42999 /Subcellular-Feature-Based-Classification-Alpha-Beta-Cells.git (accessed on 9 April 2024.,SXT,2,30-46.5,30-46.5,Rodent,"M. musculus, alpha cell",60,MsAlpha,8,Y,"8 alpha, 7 beta",Nucleus; Mitochondria; Vesicles,,Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
deshmukh-2024-093,Deshmukh 2024,deshmukh-2024,included,2024,Cells,Yes,No,,,,,,,Reconstructed data are available from the corresponding contacts upon request. The original code is available at the GitHub repository: https://github.com/kvn42999 /Subcellular-Feature-Based-Classification-Alpha-Beta-Cells.git (accessed on 9 April 2024.,SXT,2,30-46.5,30-46.5,Rodent,"M. musculus, beta cell",61,MsBeta,7,Y,,Nucleus; Mitochondria; Vesicles,,Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
diaz-2015-041,Diaz 2015,diaz-2015,included,2015,Journal of Structural Biology,Yes,No,,,,,,,,HXT (ptychography),8,180,180,Protist (green algae),Chlamydomonas reinhartdii,30,Cr,3,Y,"not stated; 3 individual cells shown in Fig 4bce, but could count ~10 total between 4a/d, although we can't tell how many are whole",Nucleus; Vacuole/Lysosome; Lipid Droplets,,Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
egebjerg-2024-057,Egebjerg 2024,egebjerg-2024,included,2024,Autophagy,Yes,Yes,,,,,,,"The code for the classification CNN and for the segmentation pipeline is available at https://github.com/Wuestner-Lab/DYFNet and https:// github.com/Wuestner-Lab/LipoSeg, respectively. Selected examples of 3D reconstructions from X-ray tomograms and all fluorescence images of the trainings set are availability at https://zenodo.org/record/ 8070003 with this link additionally provided at the DYFNet GitHub page.",SXT,2,9.8-30,9.8-30,Yeast,Saccharomyces cerevisiae,38,Sc,72,Y,"28 (14 WT, 6 Ncr1, 8 Npc2) - mentioned in M&M - this seems to be for analysis. In results pg 12 - n=72 (WT 24, ncr1 30, npc2 18) - this seems to be total 3D renderings, of which the above n=28 is a subset.",Vacuole/Lysosome; Lipid Droplets,,Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
ezzedine-2023-035,Ezzedine 2023,ezzedine-2023,included,2023,Nature Communications,Yes,Yes,https://www.ebi.ac.uk/empiar/EMPIAR-11694/,EMPIAR,104.7 GB,104700000000,104700000000,,"Electron microscopy images can be accessed Electron Microscopy Public Image Archive with the following reference, EMPIAR-11694. Computation and metric geometry for 3D reconstructions were realized using Dragonfly with scripts provided at gitlab.com/clariaddy/ stl_statistics and gitlab.com/clariaddy/mindist for the cryo-fixed cells. Source data are provided with this paper.",FIB-SEM,1,8-10,8-10,Protist (snow alga/plant),Sanguina nivaloides,25,Sn,2,Y,"1 chemically fixed, 1 cryo-fixed",Nucleus; Mitochondria; Lipid Droplets; Chloroplast/Plastid,,Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
feng-2016-074,Feng 2016,feng-2016,included,2016,Journal of Morphology,No,No,,,,,,,,SBF-SEM,3,8.7,50,Invertebrate,Penaeus monodon,44,Pm,9,Y,Randomly selected spermatozoa,Nucleus; Mitochondria,,Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
feng-2023-038,Feng 2023,feng-2023,included,2023,Protoplasma,No,No,,,,,,,,FIB-SEM,1,2.44,8,Protist (green alga),Chlorella pyrenoidosa,28,Cp,9,N,"3+ per growth stage; 20 imaged, 15 segmented, but 3 per stage chosen for reconstruction",Nucleus; ER; Mitochondria; Vacuole/Lysosome; Lipid Droplets; Chloroplast/Plastid,,Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
ferreira-2008-005,Ferreira 2008,ferreira-2008,included,2008,Annals of the Brazilian Academy of Sciences,Yes,No,,,,,,,,ssTEM,4,?,?,Protist (parasitic protozoan),Trypanosoma cruzi,5,Tc,1,Y,,Nucleus; Flagella/cilia,,Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
fogelqvist-2017-116,Fogelqvist 2017,fogelqvist-2017,included,2017,Scientific Reports,Yes,No,,,,,,,,SXT,2,100,100,Human (cancer),HEK293T,79,HEK,2,Y,,Nucleus; Vacuole/Lysosome; Vesicles,,Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
girard-dias-2012-006,Girard-Dias 2012,girard-dias-2012,included,2012,Histochemistry and Cell Biology,No,No,,,,,,,,ET (cryo),5,?,70 or 200,Protist (parasitic protozoan),Trypanosoma cruzi,5,Tc,1,Y,"(M&M mentions ""35 tomograms (appox. 25 from epimastigotes and 10 from amastigotes and epimastigotes)""",Nucleus; Vacuole/Lysosome; Flagella/cilia,,Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
gluenz-2015-008,Gluenz 2015,gluenz-2015,included,2015,Methods in Cell Biology,Yes,No,,,,,,,,SBF-SEM,3,6-6.2,100,Protist (parasitic protozoan),Trypanosoma brucei,6,Tb,1,Y,Fig 9. original data,Nucleus; Mitochondria; Vesicles; Flagella/cilia,,Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
hair-2024-013,Hair 2024,hair-2024,included,2024,PLOS Pathogens,Yes,Yes,https://zenodo.org/records/10652021; https://www.ebi.ac.uk/empiar/EMPIAR-11826/,Zenodo; EMPIAR,131.9 GB; 17.3 GB,149200000000,149200000000,,The SBF-SEM dataset generated and analysed for this study have been deposited and is available in the EMPIAR repository database [54]under the EMPIAR ID:11826 -https://www.ebi.ac.uk/empiar/EMPIAR-11826/. The electron tomography dataset generated and analysed for this study has been deposited and is available in the Zenodo repository - https://zenodo . org/records/10652021.,SBF-SEM,3,5,75-100,Protist (parasitic protozoan),Leishmania mexicana,10,Lm,51,Y,"41 in vitro, 10 sand fly-derived",Nucleus; ER; Mitochondria; Vacuole/Lysosome; Lipid Droplets; Golgi; Flagella/cilia,,Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
hanssen-2010-019,Hanssen 2010,hanssen-2010,included,2010,Methods in Cell Biology,No,No,,,,,,,,ET (cryo),5,0.93-2.33,300,Protist (parasitic protozoan),Plasmodium falciparum,15,Pf,1,Y,,Nucleus; Mitochondria; Vacuole/Lysosome,,Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
hanssen-2013-020,Hanssen 2013,hanssen-2013,included,2013,Cellular Microbiology,No,No,,,,,,,,SXT,2,?,?,Protist (parasitic protozoan),Plasmodium falciparum,15,Pf,32,N,32,Nucleus;,rhoptry,Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
hanssen-2013-021,Hanssen 2013,hanssen-2013,included,2013,Cellular Microbiology,No,No,,,,,,,,ET (chemical),5,120-140,120-140,Protist (parasitic protozoan),Plasmodium falciparum,15,Pf,17,N,17,"Nucleus, mitochondria","rhoptry, cystosomal ring, apicoplast, polar rings",Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
henderson-2007-025,Henderson 2007,henderson-2007,included,2007,PLoS One,Yes,No,,,,,,,,ET (cryo),5,1.2,1.2,Protist (picoplankton),Ostreococcus tauri,16,Ot,10,Y,10 (6 best cells used for quantitation) (52 imaged total); 23 dark-to-light transition; 29 light-to-dark transition;,Nucleus; ER; Mitochondria; Chloroplast/Plastid; Peroxisome; Golgi,,Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
heymann-2009-110,Heymann 2009,heymann-2009,included,2009,Journal of Structural Biology,Yes,No,,,,,,,,FIB-SEM (IA-SEM),1,12,30,Human (cancer),MNT-1 (melanoma),73,MNT1,1,Y,,Nucleus; ER; Mitochondria,,Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
hoffman-2020-099,Hoffman 2020,hoffman-2020,included,2020,Science,Yes,No,,,,,,,Data and materials availability: All data needed to evaluate the conclusions of this paper are present here or the supplementary materials. The total size of the raw data used here exceeds tens of terabytes. All data used in this paper is freely available upon reasonable request to those who provide a mechanism for facile data transfer,FIB-SEM,1,8,8,NHP,COS-7 (Cercopithecus aethiops),65,COS7,2,Y,,Nucleus; ER; Mitochondria,,Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
hohmann-marriott-2009-022,Hohmann-Marriott 2009,hohmann-marriott-2009,included,2009,Nature Methods,Yes,No,,,,,,,,STEM,9,1-2.8,20,Protist (parasitic protozoan),Plasmodium falciparum,15,Pf-iHe,1,Y,,Nucleus; Vacuole/Lysosome; Lipid Droplets; Golgi,,Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
hughes-2017-009,Hughes 2017,hughes-2017,included,2017,Journal of Cell Science,Yes,No,,,,,,,,SBF-SEM,3,6-6.2,100,Protist (parasitic protozoan),Trypanosoma brucei,6,Tb,79,Y,(different n's for each quant),Nucleus; Mitochondria; Golgi; Flagella/cilia; Centrosome/Basal Body,,Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
hummel-2012-042,Hummel 2012,hummel-2012,included,2012,PLoS One,Yes,No,,,,,,,,SXT,2,30-50,30-50,Protist (green algae),Chlamydomonas reinhartdii,30,Cr,14,Y,(6 wt; 8 mutant),Nucleus; Mitochondria; Vacuole/Lysosome; Lipid Droplets; Chloroplast/Plastid; Flagella/cilia,,Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
jadav-2023-111,Jadav 2023,jadav-2023,included,2023,Journal of Structural Biology,Yes,No,,,,,,,"""No data was used for the research described in the article."" ??",SBF-SEM,3,9,27,Human (cancer),H446 (lung cancer),74,H446,6,N,"counting only 2-organelles (see Supp Table 1, total = 65), 1 monolayer + 5 mito/vesicles analysed (although we can't tell how many cells have which organelle combo; â€œVolumetric analyses of mitochondria for 30 intact cells in one whole tumorsphereâ€ mentioned in M&M section 2.5",Nucleus; Mitochondria; Vesicles,,Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
jiang-2010-052,Jiang 2010,jiang-2010,included,2010,PNAS,Yes,No,,,,,,,,X-ray diffraction,10,50-60,50-60,Yeast,Schizosaccharomyces pombe,37,Sp,1,Y,,Nucleus; ER; Mitochondria; Vacuole/Lysosome,,Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
johkura-2022-090,Johkura 2022,johkura-2022,included,2022,Microscopy,Yes,No,,,,,,,,SBF-SEM,3,10,70,Rodent,"R. norvegicus, hepatocyte",58,RtHep,8,Y,"4 single-nuc, 4 binuc",Nucleus; Golgi,,Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
kelbauskas-2017-096,Kelbauskas 2017,kelbauskas-2017,included,2017,Science Advances,Yes,No,,,,,,,"""Data and materials availability: All data needed to evaluate the conclusions in the paper are present in the paper and/or the Supplementary Materials. Additional data related to this paper may be requested from the authors.""",Optical tomography (LCCT),7,291-331,232-300,Rodent,J774A.1 (M. musculus),62,K562,1,Y,,Nucleus; Mitochondria,,Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
kelbauskas-2017-115,Kelbauskas 2017,kelbauskas-2017,included,2017,Science Advances,Yes,No,,,,,,,"""Data and materials availability: All data needed to evaluate the conclusions in the paper are present in the paper and/or the Supplementary Materials. Additional data related to this paper may be requested from the authors.""",Optical tomography (LCCT),7,291-331,232-300,Human (cancer),K562 (leukemia),78,J774A1,1,Y,,Nucleus; Mitochondria,,Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
kichuk-2024-058,Kichuk 2024,kichuk-2024,included,2024,Cell Reports Methods,Yes,No,,,,,,,(1) Microscopy and any additional data reported in this paper will be shared by the lead contact upon request. (2) All original code has been deposited on Figshare and Github and is publicly available as of the date of publication. DOIs are listed in the key resources table. (3) Any additional information required to re-analyze the data reported in this paper is available from the lead contact upon request.,Fluorescence,6,131-151,347-399,Yeast,Saccharomyces cerevisiae,38,Sc,90,Y,"yeast - 90 (30 cells per metabolic state) (12 MRC-5 cells counted from Fig 6B-D, but EXCLUDED due to lack of cell boundary)","nucleus, ER; Mitochondria",,Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
koutsogiannis-2023-017,Koutsogiannis 2023,koutsogiannis-2023,included,2023,Frontiers in Cellular and Infection Microbiology,Yes,No,,,,,,,The original contributions presented in the study are included in the article/Supplementary Material. Further inquiries can be directed to the corresponding author.,Optical tomography (diffraction),7,?,?,Protist (parasitic protozoan),Toxoplasma gondii,14,Tg,3,Y,"1 WT, 2 cerS1 mutant",Nucleus,,Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
larabell-2004-059,Larabell 2004,larabell-2004,included,2004,MBoC,Yes,No,,,,,,,,SXT,2,60,60,Yeast,Saccharomyces cerevisiae,38,Sc,3,Y,,"vacuole, lipid droplet, nucleus",,Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
laundon-2019-073,Laundon 2019,laundon-2019,included,2019,PLOS Biology,Yes,Yes,https://doi.org/10.6084/m9.figshare.7346750.v2,figshare,3.02 GB,3020000000,3020000000,,"(""All relevant data are within the paper and its Supporting Information files. All TrakEM2 project files and electron microscopy files are available from figshare (doi. org/10.6084/m9.figshare.7346750.v2)."")",ssTEM,4,?,70-150,Invertebrate,"Oscarella carmela, choanocytes",43,Oc,5,Y,,Nucleus; ER; Mitochondria; Vacuole/Lysosome; Golgi; Flagella/cilia; Centrosome/Basal Body,,Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
laundon-2019-072,Laundon 2019,laundon-2019,included,2019,PLOS Biology,Yes,Yes,https://doi.org/10.6084/m9.figshare.7346750.v2,figshare,3.02 GB,3020000000,3020000000,,"(""All relevant data are within the paper and its Supporting Information files. All TrakEM2 project files and electron microscopy files are available from figshare (doi. org/10.6084/m9.figshare.7346750.v2)."")",ssTEM,4,?,70-150,Protist (choanoflagellate),Salpingoeca rosetta,42,Sr,6,Y,"3 colonial, 3 single",Nucleus; ER; Mitochondria; Vacuole/Lysosome; Golgi; Flagella/cilia; Centrosome/Basal Body; Vesicles,,Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
li-2022-087,Li 2022,li-2022,included,2022,PLoS One.,Yes,No,,,,,,,,SXT,2,60,60,Rodent,INS-1E (R. norvegicus),57,RtBeta,132,Y,40 tomograms from SXT extended to 132. unsure if those original 40 are included in the 132. 3 for analysis,Nucleus; Mitochondria; Vesicles,,Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
liu-2018-070,Liu 2018,liu-2018,included,2018,Journal of Microscopy,No,No,,,,,,,,SXT,2,30,30,Yeast (pathogenic),Candida utilis,40,Cu,2,Y,1 G1 and 1 budding,Nucleus; Mitochondria; Vacuole/Lysosome; Lipid Droplets,,Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
liu-2018-079,Liu 2018,liu-2018,included,2018,Journal of Microscopy,No,No,,,,,,,,Fluorescence (AO-LLSM),6,97,200,Fish,"Danio rerio, lens cell",49,ZbL,1,Y,,Nucleus; ER; Mitochondria; Golgi,,Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
liu-2018-078,Liu 2018,liu-2018,included,2018,Journal of Microscopy,No,No,,,,,,,,Fluorescence (AO-LLSM),6,97,200,Fish,"Danio rerio, neural progenitor cell",48,ZbNP,1,Y,1 of each cell type (see below); 3 time points for zebrafish neural progenitor,Nucleus; ER; Mitochondria; Golgi,,Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
